;Periods;Total Consumption;AC;Dish washer;Washing Machine;Dryer;Water heater;TV;Microwave;Kettle;Lighting;Refrigerator
0;1;2,55716795819131;0;0;0;0;0;0;0;0;0;0
1;2;2,61093037303015;0;0;0;0;0;0;0;0;0;0
2;3;2,65954676327485;0;0;0;0;0;0;0;0;0;0
3;4;2,53468795601688;0;0;0;0;0,658;0;0;0;0;0
4;5;2,60131543234109;0;0;0;0;0,068;0;0;0;0;0
5;6;2,56935591117744;0;0;0;0;0,557;0;0;0;0;0
6;7;2,53143783522057;0;0;0;0;0,101;0;0;0;0;0
7;8;2,54958434299993;0;0;0;0;1,016;0;0;0;0;0,14
8;9;2,57707494806866;0;0;0;0;0,793;0;0;0;0;0
9;10;2,64519206309118;0;0;0;0;0,103;0;0;0;0;0
10;11;2,57856458676697;0;0;0;0;0,418;0;0;0;0;0,14
11;12;2,69028748913989;0;0;0;0;0,397;0;0;0;0;0,14
12;13;2,64911929238672;0;0;0;0;0,118;0;0;0;0;0
13;14;2,61851398822153;0;0;0;0;0,469;0;0;0;0;0
14;15;2,57436651407174;0;0;0;0;0;0;0;0;0;0
15;16;2,48390481857464;0;0;0;0;0;0;0;0;0;0,14
16;17;2,52994819652227;0;0;0;0;0;0;0;0;0;0
17;18;2,4767274684828;0;0;0;0;0;0;0;0;0;0
18;19;2,47632120338327;0;0;0;0;0;0;0;0;0;0,14
19;20;2,57504362257097;0;0;0;0;0;0;0;0;0;0
20;21;2,50299927825292;0;0;0;0;0;0;0;0;0;0
21;22;2,60226338424001;0;0;0;0;0;0;0;0;0;0,14
22;23;2,52371879832935;0;0;0;0;0;0;0;0;0;0,14
23;24;2,43109035563472;0;0;0;0;0;0;0;0;0;0
24;25;2,55161566849762;0;0;0;0;0;0;0;0;0;0
25;26;2,42797565653826;0;0;0;0;0;0;0;0;0;0
26;27;2,48241517987634;0;0;0;0;0;0;0;0;0;0,14
27;28;2,51505180953921;0;0;0;0;0;0;0;2,228;0;0
28;29;2,41009999215859;0;0;0;0;0;0;0;0;0;0
29;30;2,50828072454691;0;0;0;0;0;0;0;0;0;0
30;31;2,49270722906463;0;0;0;0;0;0;1,922;0;0;0
31;32;2,53103157012104;0;0;0;0;0;0;0;0;0;0
32;33;2,49649903666032;0;0;0;0;0;0;0;0;0;0
33;34;2,43569469342948;0;0;0;0;0;0;0;0;0;0
34;35;2,51667686993736;0;0;0;0;0;0;0;0;0;0
35;36;2,47103975708928;0;0;0;0;0;0;0;0;0;0
36;37;2,44896602001438;0;0;0;0;0;0;0;0;0;0
37;38;3,2283179026279;0;0;1,16754375;0;0;0;0;0;0;0
38;39;3,535048052779;0;0;0,2168375;0;0;0;0;0;0;0
39;40;3,56930974284003;0;0;0,1188875;0;0;0;0;0;0;0
40;41;3,10088608307285;0;0;0,00035625;0;0;0;0;0;0;0
41;42;2,47361276938635;0;0;0;0;0;0;0;0;0;0,14
42;43;2,6311082063072;0;0,0220375;0;0;0,658;0;0;0;0;0
43;44;2,60808651733339;0;1,20131875;0;0;0,068;0;0;0;0;0
44;45;2,64451495459195;0;1,2285;0;0;0,557;0;0;0;0;0,14
45;46;2,5942735039491;0;0,0590187499999999;0;0;0,101;0;0;0;0;0,14
46;47;2,62271206091675;0;1,3565375;0;0;1,016;0;0;0;0;0
47;48;2,60388844463816;0;0,141918749999999;0;0;0,793;0;0;0;0;0
48;49;2,57870000846681;0;0;0;0;0,103;0;0;0;0;0
49;50;2,67281808985976;0;0;0;0;0,418;0;0;0;0;0,14
50;51;2,66780748696546;0;0;0;0;0,397;0,06278;0;0;0;0
51;52;2,70802773181971;0;0;0;0;0,118;0,1082;1,922;0;0;0
52;53;2,6346291705032;0;0;0;0,93449375;0,469;0,107986666666666;0;0;0;0,14
53;54;2,60889904753247;0;0;0;1,8082625;0;0,1076;0;0;0;0
54;55;2,67782869275406;0;0;0;0,08893125;0;0,0849866666666666;0;0;0;0
55;56;0,863719601617548;0;0;0;0,0249375;0;0;0;0;0;0,14
56;57;0,800477667789483;0;0;0;0;0;0;0;0;0;0,14
57;58;0,547103667377688;0;0;0;0;0;0;0;0;0;0
58;59;1,44928303175149;0;0;0;0;0;0;0;0;0;0
59;60;2,46183108149975;0;0;0;0;0;0;0;0;0,289333333333333;0
60;61;2,71290291301416;0;0;0;0;0;0;0;2,228;0,29;0,14
61;62;2,38382818238847;0;0;0;0;0;0;1,922;0;0,29;0
62;63;1,34108109357456;0;0;0;0;0;0;0;0;0,289333333333333;0
63;64;1,31846566970029;0;0;0;0;0;0;0;0;0,0756666666666666;0
64;65;1,38414519412558;0;0,0220375;0;0;0;0;0;0;0,069;0
65;66;1,30871530731138;0;1,20131875;0;0;0;0;0;0;0,069;0
66;67;1,39619772541187;0;1,2285;0;0;0;0;0;0;0,0693333333333333;0
67;68;1,55843292182733;0;0,0590187499999999;0;0;0;0;0;0;0,0696666666666666;0
68;69;1,6402276285343;0;1,3565375;0;0;0;0,001536;0;0;0,07;0
69;70;1,9151336792216;0;0,141918749999999;1,16754375;0;0;0,183992;0;0;0,253666666666666;0
70;71;1,61368497536449;0;0;0,2168375;0;0,273;0,186656;0;0;0,265666666666666;0
71;72;1,46147098473763;0;0;0,1188875;0;0,194;0,184015999999999;0;0;0,266;0,14
72;73;1,47677363682022;0;0;0,00035625;0;0,016;0,185264;0;0;0,266666666666666;0
73;74;1,51726472507416;0;0;0;0;0,517;0,193864;0;0;0,265666666666666;0
74;75;1,45172062234872;0;0;0;0;0,432;0,191576;0;0;0,175;0,14
75;76;1,49343050590127;0;0;0;0;0,399;0,179168;0;0;0;0,14
76;77;1,51726472507416;0;0;0;0;0,48;0,104096;0;0;0,137666666666666;0
77;78;0,454610646382895;0;0;0;0;0;0,185992;0;0;0,218;0
78;79;0,487788962845156;0;0;0;0;0;0,187175999999999;0;0;0,218666666666666;0
79;80;0,515414989613733;0;0;0;0;0;0,186;0;0;0;0,14
80;81;0,392993772952983;0;0;0;0;0;0,180688;0;0;0;0
81;82;0,485486793947775;0;0;0;0;0;0,1794;0;0;0;0
82;83;0,405723412738503;0;0;0;0;0;0,176416;0;0;0;0,14
83;84;0,390827025755447;0;0;0;0;0;0,0126959999999999;0;0;0;0
84;85;0,496997638434682;0;0;0;0;0;0;0;0;0;0
85;86;0,373493048175164;0;0;0;0;0;0;0;0;0;0,14
86;87;0,411546545831879;0;0;0;0;0;0;0;0;0;0,14
87;88;0,480882456153012;0;0;0;0;0;0;0;0;0;0
